"Type","Entries","Year","Value"
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1974",893
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1974",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1974",443
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1974",297
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1974",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1974",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1974",95
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1974",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1974",46
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1974",212
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1974",10
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1974",411
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1974",41
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1974",17
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1974",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1975",1164
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1975",438
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1975",322
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1975",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1975",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1975",47
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1975",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1975",19
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1975",625
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1975",801
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1975",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1975",450
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1975",272
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1975",8
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1975",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1975",111
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1975",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1975",78
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1975",241
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1975",50
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1975",427
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1975",46
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1975",18
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1975",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1976",1163
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1976",574
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1976",322
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1976",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1976",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1976",56
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1976",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1976",23
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1976",1010
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1976",978
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1976",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1976",550
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1976",323
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1976",12
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1976",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1976",133
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1976",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1976",84
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1976",262
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1976",80
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1976",475
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1976",80
